ORIGEN;DESTINO;VALOR
A001  Banco Nacional de Panamá;045  The Bank Of Nova Scotia;25000000
A001  Banco Nacional de Panamá;050  Banco Aliado S.A.;3000000
A001  Banco Nacional de Panamá;140  Credicorp Bank S.A.;4000000
A001  Banco Nacional de Panamá;148  Global Bank Corporation;5000000
A001  Banco Nacional de Panamá;E008 BANCO BILBAO VIZCAYA ARGENTARIA                        ;16994.93
A001  Banco Nacional de Panamá;E008 BANCO BILBAO VIZCAYA ARGENTARIA                        ;20000000
A001  Banco Nacional de Panamá;E008 BANCO BILBAO VIZCAYA ARGENTARIA                        ;45000000
A001  Banco Nacional de Panamá;E008 BANCO BILBAO VIZCAYA ARGENTARIA                        ;35000000
A001  Banco Nacional de Panamá;E009 BANCO CENTROAMERICANO DE INTEGRACION ECONOMICA         ;50000000
A001  Banco Nacional de Panamá;E009 BANCO CENTROAMERICANO DE INTEGRACION ECONOMICA         ;30000000
A001  Banco Nacional de Panamá;E017 BANCO DEL  ESTADO DE CHILE                             ;35000000
A001  Banco Nacional de Panamá;E030 BANK FOR INTERNATIONAL SETTLEMENTS                     ;1070311.74
A001  Banco Nacional de Panamá;E030 BANK FOR INTERNATIONAL SETTLEMENTS                     ;85000000
A001  Banco Nacional de Panamá;E030 BANK FOR INTERNATIONAL SETTLEMENTS                     ;35000000
A001  Banco Nacional de Panamá;E030 BANK FOR INTERNATIONAL SETTLEMENTS                     ;50000000
A001  Banco Nacional de Panamá;E030 BANK FOR INTERNATIONAL SETTLEMENTS                     ;200000000
A001  Banco Nacional de Panamá;E030 BANK FOR INTERNATIONAL SETTLEMENTS                     ;115000000
A001  Banco Nacional de Panamá;E030 BANK FOR INTERNATIONAL SETTLEMENTS                     ;65000000
A001  Banco Nacional de Panamá;E030 BANK FOR INTERNATIONAL SETTLEMENTS                     ;15000000
A001  Banco Nacional de Panamá;E033 BANK OF AMERICA;407044.74
A001  Banco Nacional de Panamá;E033 BANK OF AMERICA;40700000
A001  Banco Nacional de Panamá;E033 BANK OF AMERICA;10000000
A001  Banco Nacional de Panamá;E042 CITIBANK                                               ;1130651.81
A001  Banco Nacional de Panamá;E042 CITIBANK                                               ;309500000
A001  Banco Nacional de Panamá;E046 CORPORACION ANDINA DE FOMENTO (CAF)                    ;45000000
A001  Banco Nacional de Panamá;E046 CORPORACION ANDINA DE FOMENTO (CAF)                    ;51000000
A001  Banco Nacional de Panamá;E046 CORPORACION ANDINA DE FOMENTO (CAF)                    ;50000000
A001  Banco Nacional de Panamá;E046 CORPORACION ANDINA DE FOMENTO (CAF)                    ;50000000
A001  Banco Nacional de Panamá;E058 FEDERAL RESERVE BANK;58596673.38
A001  Banco Nacional de Panamá;E069 JP MORGAN CHASE ;6964.61
A001  Banco Nacional de Panamá;E069 JP MORGAN CHASE ;10514151.46
A001  Banco Nacional de Panamá;E069 JP MORGAN CHASE ;250000000
A001  Banco Nacional de Panamá;E083 RABOBANK INTERNATIONAL                                 ;10000000
A001  Banco Nacional de Panamá;E083 RABOBANK INTERNATIONAL                                 ;50000000
A001  Banco Nacional de Panamá;E090 SUMITOMO MITSUI BANKING                                ;20000000
A001  Banco Nacional de Panamá;E090 SUMITOMO MITSUI BANKING                                ;50000000
A001  Banco Nacional de Panamá;E090 SUMITOMO MITSUI BANKING                                ;50000000
A001  Banco Nacional de Panamá;E093 THE BANK OF MONTREAL                                   ;15000000
A001  Banco Nacional de Panamá;E093 THE BANK OF MONTREAL                                   ;45000000
A001  Banco Nacional de Panamá;E094 THE BANK OF NEW YORK                                   ;1632355.76
A001  Banco Nacional de Panamá;E094 THE BANK OF NEW YORK                                   ;150000000
A001  Banco Nacional de Panamá;E096 THE BANK OF NOVA SCOTIA (SCOTIABANK)                   ;105000000
A001  Banco Nacional de Panamá;E097 MUFG BANK LTD  (antes THE BANK OF TOKYO MITSUBISHI);404.92
A001  Banco Nacional de Panamá;E098 THE ROYAL BANK OF CANADA                               ;25000000
A001  Banco Nacional de Panamá;E098 THE ROYAL BANK OF CANADA                               ;25000000
A001  Banco Nacional de Panamá;E104 WELLS FARGO                                            ;241746.36
A001  Banco Nacional de Panamá;E104 WELLS FARGO                                            ;100000000
A001  Banco Nacional de Panamá;E104 WELLS FARGO                                            ;50000000
A001  Banco Nacional de Panamá;E110 NATIONAL BANK OF CANADA;15000000
A001  Banco Nacional de Panamá;E110 NATIONAL BANK OF CANADA;30000000
A001  Banco Nacional de Panamá;E133 ZURCHER KANTONALBANK ;50000000
A001  Banco Nacional de Panamá;E133 ZURCHER KANTONALBANK ;50000000
A001  Banco Nacional de Panamá;E133 ZURCHER KANTONALBANK ;15000000
A001  Banco Nacional de Panamá;E133 ZURCHER KANTONALBANK ;35000000
A001  Banco Nacional de Panamá;E133 ZURCHER KANTONALBANK ;50000000
A001  Banco Nacional de Panamá;E133 ZURCHER KANTONALBANK ;50000000
A001  Banco Nacional de Panamá;E137 LANDESBANK BADEN-WÜRTTEMBERG;35000000
A001  Banco Nacional de Panamá;E137 LANDESBANK BADEN-WÜRTTEMBERG;5000000
002  Caja de Ahorros;A001  Banco Nacional de Panamá;36163.66
002  Caja de Ahorros;A001  Banco Nacional de Panamá;66825000
002  Caja de Ahorros;003  Banco General, S.A.;1005647.43
002  Caja de Ahorros;003  Banco General, S.A.;1037024.53
002  Caja de Ahorros;003  Banco General, S.A.;15000000
002  Caja de Ahorros;003  Banco General, S.A.;12088116.82
002  Caja de Ahorros;024  Banco Internacional de Costa Rica, S.A.;10117004.99
002  Caja de Ahorros;024  Banco Internacional de Costa Rica, S.A.;7166072
002  Caja de Ahorros;024  Banco Internacional de Costa Rica, S.A.;3177258.3
002  Caja de Ahorros;027  Banco Latinoamericano de Comercio Exterior, S.A. (BLADE;4264487.57
002  Caja de Ahorros;027  Banco Latinoamericano de Comercio Exterior, S.A. (BLADE;3668404.49
002  Caja de Ahorros;027  Banco Latinoamericano de Comercio Exterior, S.A. (BLADE;2054891.63
002  Caja de Ahorros;027  Banco Latinoamericano de Comercio Exterior, S.A. (BLADE;3049614.62
002  Caja de Ahorros;027  Banco Latinoamericano de Comercio Exterior, S.A. (BLADE;16491617.08
002  Caja de Ahorros;037  Citibank, N.A. Sucursal Panamá;1677271.8
002  Caja de Ahorros;037  Citibank, N.A. Sucursal Panamá;750000
002  Caja de Ahorros;045  The Bank Of Nova Scotia;2060947.17
002  Caja de Ahorros;045  The Bank Of Nova Scotia;3007378.81
002  Caja de Ahorros;045  The Bank Of Nova Scotia;2045571.36
002  Caja de Ahorros;045  The Bank Of Nova Scotia;4052665.92
